Custom Table Report,,,,,,,UNOFFICIAL RESULTS
State & Federal Primary and County General,,,,,,,
"August 6, 2026",,,,,,,Hamilton
,,STATISTICS,,,,,
,,Registered Voters - Total,Ballots Cast - Total,Ballots Cast - Republican,Ballots Cast - Democratic,Ballots Cast - General,
,"REP Tennessee House of Representatives, District 30 District 30",,"REP State Executive Committeeman, District 10 District 10",,"REP State Executive Committeeman, District 11 District 11",,,"REP State Executive Committeewoman, District 10 District 10",
,VOTE FOR 1,,VOTE FOR 1,,VOTE FOR 1,,,VOTE FOR 1,
,25 of 25 Precincts Reporting,,35 of 35 Precincts Reporting,,57 of 57 Precincts Reporting,,,35 of 35 Precincts Reporting,
,Esther Helton Haynes,Write-in Totals,Kenneth J (Ken) Meyer,Write-in Totals,Derek Greene,David G. Queen,Write-in Totals,Emily Goldberg,Write-in Totals
MOUNTAIN CREEK C,,,12,1,,,,10,2
MOWBRAY A,,,,,58,51,2,,
MOWBRAY B,,,,,98,101,0,,
MURRAY HILLS,,,,,68,63,0,,
NORTH CHATTANOOGA A,,,,,62,55,1,,
NORTH CHATTANOOGA B,,,81,3,,,,80,3
NORTHGATE,,,,,183,237,3,,
NORTHSHORE,,,,,167,160,5,,
NORTHWOODS,,,,,301,223,2,,
OOLTEWAH,0,0,,,422,247,4,,
OOLTEWAH GEORGETOWN,,,,,231,173,3,,
OOLTEWAH RINGGOLD,313,7,824,9,,,,812,7
PLEASANT GROVE A,,,,,317,327,6,,
PLEASANT GROVE B,,,,,20,20,0,,
POSSUM CREEK,,,,,498,333,7,,
RED BANK A,,,280,8,,,,278,8
RED BANK B,,,,,245,146,1,,
RED BANK C,,,,,160,117,0,,
RIDGEDALE,,,67,6,,,,69,6
RIDGESIDE,75,3,,,44,32,1,,
RIVERVIEW,,,,,118,90,5,,
SALE CREEK,,,,,358,152,4,,
SAVANNAH BAY,,,,,343,215,7,,
SEQUOYAH,,,,,299,238,3,,
SIGNAL MOUNTAIN A,,,,,257,272,9,,
SIGNAL MOUNTAIN B,,,,,513,445,13,,
,"REP Tennessee House of Representatives, District 30 District 30",,"REP State Executive Committeeman, District 10 District 10",,"REP State Executive Committeeman, District 11 District 11",,,"REP State Executive Committeewoman, District 10 District 10",
,VOTE FOR 1,,VOTE FOR 1,,VOTE FOR 1,,,VOTE FOR 1,
,25 of 25 Precincts Reporting,,35 of 35 Precincts Reporting,,57 of 57 Precincts Reporting,,,35 of 35 Precincts Reporting,
,Esther Helton Haynes,Write-in Totals,Kenneth J (Ken) Meyer,Write-in Totals,Derek Greene,David G. Queen,Write-in Totals,Emily Goldberg,Write-in Totals
SILVERDALE,0,0,144,1,,,,140,0
SODDY DAISY A,,,,,361,287,4,,
SODDY DAISY B,,,,,318,222,3,,
SODDY DAISY C,,,,,265,141,1,,
ST ELMO,,,197,11,,,,196,10
STUART HEIGHTS,,,,,235,193,5,,
SUMMIT,,,,,222,117,2,,
TYNER,,,259,2,,,,244,3
VALLEYBROOK,,,,,414,607,6,,
WALDEN,,,,,220,176,4,,
WESTVIEW A,238,2,231,0,,,,226,1
WESTVIEW B,495,15,485,7,,,,481,8
WOLFTEVER,,,,,353,221,6,,
WOODMORE,,,25,0,,,,22,1
Totals,"5,630",131,"9,641",140,"11,991","9,407",177,"9,404",146
,"REP State Executive Committeewoman, District 11 District 11",,,DEM Governor,,,,,
,VOTE FOR 1,,,VOTE FOR 1,,,,,
,57 of 57 Precincts Reporting,,,92 of 93 Precincts Reporting,,,,,
,Jane Armstrong,Tina J. Benkiser,Write-in Totals,Carnita Atwater,Tim Cyr,Jerri Green,"Adam ""Ditch"" Kurtz",Kevin Lee McCants,Write-in Totals
AIRPORT A,11,5,0,15,4,35,1,3,0
AIRPORT B,,,,50,10,85,6,30,3
ALTON PARK,,,,128,24,145,13,57,6
APISON A,,,,11,7,46,4,3,0
APISON B,,,,24,11,100,2,3,0
AVONDALE,4,2,1,68,14,100,9,33,4
BIRCHWOOD,330,94,2,13,8,48,4,3,1
BONNY OAKS,40,23,0,155,14,244,20,88,11
BRAINERD,,,,61,24,293,13,29,2
BRAINERD HILLS,,,,48,15,155,9,14,7
BUSHTOWN,25,8,1,120,12,249,22,43,8
COLLEGEDALE A,122,46,1,31,8,97,8,8,0
COLLEGEDALE B,,,,8,4,53,2,3,1
